Ticker,ScanDate,ScanPrice,Score,MxV,RunUp,REL_VOL,RSI,ATRX,Gap,VWAP_dev,Volume,MarketCap,Hour,Float%,PriceToHigh,PriceTo52WHigh,ScanChange%,DayRunUp%,EntryScore,ScoreMax,ScoreMin,ScoreStd,ScanCount,Sector,Industry,MarketCapCategory,drop_max_pct,rise_max_pct,drop_d1_open,drop_d1_close,drop_d5_close,hit_tp10,hit_sl7,net_outcome,D1_Gap%,FirstScanTime,LastScanTime,PeakScoreTime
BIAF,2026-03-25,3.98,41.53,-189.88,-13.39,1.79,70.24,1.8,16.04,-6.32,13041174.0,17904862.0,,289.89,-19.92,-91.45,0.5,6.54,,,,,,nan,nan,nan,-14.57,27.638190954773872,-0.2512562814070298,19.09547738693468,0.0,True,True,SL_HIT,-0.25,nan,nan,14:59
FEED,2026-03-25,2.69,42.69,-1906.2,0.75,2.08,62.68,1.42,18.14,0.75,21628401.0,2900031.0,,1987.55,-7.24,-98.34,19.03,7.63,,,,,,nan,nan,nan,-26.39,0.0,-2.9739776951672887,-14.498141263940525,-23.048327137546472,True,False,TP_HIT,-2.97,nan,nan,13:54
QNRX,2026-03-25,9.75,56.5,-154.05,-1.71,100.0,62.99,4.45,24.0,3.5,4105974.0,15757755.0,,254.05,-9.97,-76.67,21.88,0.0,,,,,,nan,nan,nan,-39.54,-4.307692307692307,-4.307692307692307,-22.461538461538467,-37.846153846153854,True,False,TP_HIT,-4.31,nan,nan,14:53
QNTM,2026-03-25,4.39,21.34,70.32,-7.86,8.4,61.44,2.67,0.85,-7.51,1140769.0,16889884.0,,29.68,-22.21,-88.51,-7.08,0.0,,,,,,nan,nan,nan,-20.05,47.380410022779046,-4.328018223234613,-12.756264236902043,0.4555808656036552,True,True,SL_HIT,-4.33,nan,nan,09:02
UGRO,2026-03-25,29.07,95.61,-9258.97,259.79,100.0,96.34,10.35,15.1,19.84,70377398.0,21860000.0,,9363.4,-19.92,-19.92,314.1,249.11,,,,,,nan,nan,nan,-44.41,27.278981768145854,-12.968696250429995,-3.68077055383557,-24.38940488476092,True,True,SL_HIT,-12.97,nan,nan,09:15
AIFF,2026-03-26,3.1,88.35,-637.41,49.77,12.78,68.27,2.38,23.21,12.59,104783741.0,44050000.0,,666.81,-1.58,-39.22,84.48,33.62,,,,,,nan,nan,nan,-37.1,-14.193548387096772,-15.161290322580651,-29.677419354838708,-31.61290322580645,True,False,TP_HIT,-15.16,nan,nan,14:41
ANNA,2026-03-26,7.13,16.7,78.91,-11.65,3.91,65.7,1.57,15.78,-6.72,8516909.0,287876032.0,,20.95,-20.34,-61.04,2.3,0.47,,,,,,nan,nan,nan,-8.84,49.22861150070128,7.713884992987374,19.35483870967742,10.659186535764373,False,True,SL_HIT,7.71,nan,nan,09:40
BATL,2026-03-26,5.51,23.05,-127.84,-17.02,3.04,40.1,0.4,26.96,-9.22,42930774.0,103822640.0,,229.07,-24.52,-81.45,5.36,16.16,,,,,,nan,nan,nan,-36.48,20.32667876588022,11.796733212341206,13.79310344827586,-23.593466424682394,True,True,SL_HIT,11.8,nan,nan,14:42
EEIQ,2026-03-26,9.03,91.38,-7189.82,88.52,100.0,85.71,7.46,75.46,3.2,107853869.0,13360000.0,,7289.99,-28.9,-67.56,230.68,129.16,,,,,,nan,nan,nan,-31.17,30.675526024363254,-30.786267995570316,-22.702104097452924,-19.712070874861567,True,True,SL_HIT,-30.79,nan,nan,08:49
FCHL,2026-03-26,3.21,57.98,-3909.09,5.77,100.0,54.99,2.98,77.49,-6.23,45461303.0,3640000.0,,8223.68,-26.21,-97.2,87.73,40.49,,,,,,nan,nan,nan,-60.12,4.3613707165109075,3.4267912772585634,-40.80996884735203,-38.940809968847354,True,False,TP_HIT,3.43,nan,nan,13:27
