Ticker,ScanDate,ScanPrice,Score,MxV,RunUp,REL_VOL,RSI,ATRX,Gap,VWAP_dev,Volume,MarketCap,Hour,Float%,PriceToHigh,PriceTo52WHigh,ScanChange%,DayRunUp%,EntryScore,ScoreMax,ScoreMin,ScoreStd,ScanCount,Sector,Industry,MarketCapCategory,drop_max_pct,rise_max_pct,drop_d1_open,drop_d1_close,drop_d5_close,hit_tp10,hit_sl7,net_outcome,D1_Gap%,FirstScanTime,LastScanTime,PeakScoreTime
CLIK,2026-04-08,2.1,69.42,-122.59,46.83,62.54,43.93,2.95,4.39,2.77,7260700.0,6850000.0,14.0,247.3,-19.23,-97.81,53.28,0.0,,88.92,88.52,0.19,4.0,nan,nan,nan,8.1,76.19047619047619,23.809523809523807,64.28571428571429,32.380952380952365,False,True,SL_HIT,23.81,14:56,14:59,14:56
MASK,2026-04-08,2.13,41.68,-1246.68,4.41,6.58,41.08,1.4,8.51,-7.33,15212198.0,2406058.0,12.0,1346.68,-23.93,-97.87,13.3,3.23,,66.06,63.5,0.44,160.0,nan,nan,nan,-23.94,0.4694835680751282,0.4694835680751282,-5.633802816901413,-17.840375586854456,True,False,TP_HIT,0.47,12:20,14:59,12:35
MIGI,2026-04-08,4.23,83.75,-107.13,46.37,34.0,74.28,4.47,1.05,7.36,11365330.0,23210000.0,12.0,994.12,-13.5,-89.42,47.9,13.44,,98.38,64.72,9.0,161.0,nan,nan,nan,-13.95,57.683215130023626,4.255319148936163,4.728132387706839,48.226950354609905,True,True,SL_HIT,4.26,12:19,14:59,13:38
UCAR,2026-04-08,2.01,79.21,-10117.84,130.06,59.4,38.91,1.33,58.57,14.71,252141601.0,4960000.0,14.0,12027.68,-15.9,-95.96,264.53,0.0,,84.3,84.2,0.04,5.0,nan,nan,nan,-37.31,38.30845771144279,15.920398009950265,-18.40796019900497,-32.33830845771143,True,True,SL_HIT,15.92,14:55,14:59,14:55
AFJK,2026-04-09,71.24,30.0,93.51,143.89,34.98,0.0,,0.0,0.0,,,9.0,,,,0.0,144.97,,68.56,22.91,10.83,337.0,Financial Services,Shell Companies,Micro,-45.31,1.4458169567658636,-11.145423919146545,-21.39247613700168,,True,False,TP_HIT,-11.15,09:24,14:59,10:40
ANTA,2026-04-09,9.86,28.08,99.77,41.26,9.23,0.0,,0.0,0.0,,,11.0,,,,0.0,24.18,,62.0,47.08,2.13,241.0,Financial Services,Credit Services,Micro,-18.76,-8.722109533468554,-11.054766734279918,-11.156186612576063,,True,False,TP_HIT,-11.05,11:01,14:59,11:24
BBGI,2026-04-09,9.25,45.4,-150.29,71.61,4.83,0.0,,0.0,0.0,,,12.0,,,,0.0,83.67,,100.0,49.29,19.65,159.0,Communication Services,Broadcasting,Micro,-10.16,57.945945945945944,2.594594594594597,27.135135135135137,,True,True,SL_HIT,2.59,12:22,14:59,13:53
CLIK,2026-04-09,3.18,48.98,-809.39,22.78,100.0,0.0,,0.0,0.0,,,8.0,,,,0.0,26.69,,76.27,58.13,4.26,376.0,Consumer Cyclical,Personal Services,Micro,-28.62,5.660377358490557,-2.5157232704402537,-13.83647798742138,,True,False,TP_HIT,-2.52,08:45,14:59,14:14
ELAB,2026-04-09,6.81,30.34,-1290.13,4.3,5.27,0.0,,0.0,0.0,,,8.0,,,,0.0,2.87,,60.34,57.89,0.29,376.0,Healthcare,Biotechnology,Micro,-33.63,-20.704845814977965,-23.201174743024954,-29.662261380323052,,True,False,TP_HIT,-23.2,08:45,14:59,08:47
LUD,2026-04-09,8.54,25.68,99.18,42.33,2.03,0.0,,0.0,0.0,,,9.0,,,,0.0,16.64,,65.16,39.85,6.34,355.0,Basic Materials,Steel,Micro,-34.07,-0.5854800936768025,-3.981264637002341,-33.021077283372364,,True,False,TP_HIT,-3.98,09:06,14:59,13:56
MIGI,2026-04-09,4.43,8.94,-47.17,0.45,8.02,0.0,,0.0,0.0,,,9.0,,,,0.0,3.85,,69.28,45.41,6.28,329.0,Financial Services,Capital Markets,Micro,-17.83,11.51241534988715,-1.1286681715575582,-3.8374717832957095,,True,True,SL_HIT,-1.13,09:32,14:59,14:59
ONCO,2026-04-09,2.72,55.0,-17702.01,68.42,91.75,0.0,,0.0,0.0,,,9.0,,,,0.0,32.68,,86.3,51.25,4.42,147.0,Healthcare,Biotechnology,Micro,-72.42,-50.0,-52.20588235294118,-59.92647058823529,,True,False,TP_HIT,-52.21,09:42,12:07,10:20
SKYQ,2026-04-09,9.35,51.12,-265.59,30.59,3.37,0.0,,0.0,0.0,,,8.0,,,,0.0,21.43,,84.29,29.72,5.76,368.0,Energy,Oil & Gas Integrated,Micro,-18.5,108.02139037433156,-17.11229946524064,34.6524064171123,,True,True,SL_HIT,-17.11,08:53,14:59,09:39
UCAR,2026-04-09,2.74,41.47,-768.75,17.6,5.42,0.0,,0.0,0.0,,,8.0,,,,0.0,0.0,,70.44,61.42,1.11,67.0,Consumer Cyclical,Auto & Truck Dealerships,Micro,-39.78,1.4598540145985253,-34.306569343065696,-14.96350364963504,,True,False,TP_HIT,-34.31,08:50,09:57,08:50
ZNTL,2026-04-09,4.49,28.38,84.41,48.68,10.13,0.0,,0.0,0.0,,,9.0,,,,0.0,40.75,,65.71,27.83,9.79,313.0,Healthcare,Biotechnology,Small,0.67,54.78841870824053,0.6681514476614556,47.216035634743875,,False,True,SL_HIT,0.67,09:48,14:59,14:45
BBGI,2026-04-10,12.75,38.24,-97.68,34.35,3.08,0.0,,0.0,0.0,,,14.0,,,,0.0,0.47,,93.06,83.98,2.04,26.0,Communication Services,Broadcasting,Micro,-26.27,14.588235294117643,-2.274509803921562,-18.431372549019606,,True,True,SL_HIT,-2.27,14:34,14:59,14:36
FGL,2026-04-10,2.55,34.2,-103.52,23.79,4.32,0.0,,0.0,0.0,,,8.0,,,,0.0,10.87,,72.38,40.43,15.34,4.0,Industrials,Engineering & Construction,Micro,-43.53,-33.725490196078425,-34.11764705882352,-37.2549019607843,,True,False,TP_HIT,-34.12,08:51,08:55,08:55
LNKS,2026-04-10,2.99,41.05,-708.99,13.26,37.9,0.0,,0.0,0.0,,,8.0,,,,0.0,16.34,,61.38,53.68,0.67,345.0,Industrials,Electrical Equipment & Parts,Micro,-38.46,-24.414715719063558,-24.74916387959867,-26.755852842809368,,True,False,TP_HIT,-24.75,08:45,14:59,08:57
SKYQ,2026-04-10,14.92,52.35,-962.17,92.52,7.05,0.0,,0.0,0.0,,,8.0,,,,0.0,77.94,,97.9,20.15,30.71,348.0,nan,nan,nan,-26.14,30.361930294906163,26.273458445040216,-22.11796246648794,,True,True,SL_HIT,26.27,08:46,14:59,11:23
SQFT,2026-04-10,3.95,30.0,-3170.87,-3.78,100.0,0.0,,0.0,0.0,,,8.0,,,,0.0,7.07,,69.71,65.66,1.25,349.0,Real Estate,REIT - Diversified,Micro,-18.98,1.0126582278481022,-8.101265822784818,-16.45569620253165,,True,False,TP_HIT,-8.1,08:45,14:59,13:18
TMCI,2026-04-10,2.11,27.98,90.26,39.74,8.94,0.0,,0.0,0.0,,,9.0,,,,0.0,2.93,,62.68,58.42,1.16,34.0,Healthcare,Medical Devices,Micro,-16.59,-3.317535545023689,-16.113744075829377,-4.739336492891,,True,False,TP_HIT,-16.11,09:20,09:58,09:45
UCAR,2026-04-10,2.73,51.09,-1266.76,51.67,3.26,0.0,,0.0,0.0,,,8.0,,,,0.0,36.5,,84.49,47.42,7.77,289.0,Consumer Cyclical,Auto & Truck Dealerships,Micro,-39.56,-25.64102564102565,-29.67032967032967,-31.135531135531142,,True,False,TP_HIT,-29.67,08:53,14:59,11:49
ZNTL,2026-04-10,6.87,30.0,37.73,51.99,43.06,0.0,,0.0,0.0,,,8.0,,,,0.0,30.86,,68.37,36.06,4.63,348.0,Healthcare,Biotechnology,Small,-24.75,-0.29112081513828914,-6.695778748180495,-19.068413391557502,,True,False,TP_HIT,-6.77,08:46,14:59,14:57
BTM,2026-04-13,4.01,64.13,61.94,53.64,23.81,57.16,3.24,-0.76,9.26,4240984.0,44680000.0,8.0,90.01,-8.66,-91.67,52.66,43.75,,65.74,27.29,9.34,360.0,Financial Services,Capital Markets,Micro,-11.47,84.03990024937656,-0.24937655860348598,-7.9800498753117175,59.85037406483792,True,True,SL_HIT,-0.25,08:57,14:59,12:47
HHS,2026-04-13,2.99,65.46,98.19,26.7,32.83,62.29,5.11,-0.0,6.35,133959.0,22170000.0,9.0,43.61,-3.38,-44.53,26.46,13.6,,71.46,28.94,11.8,314.0,Industrials,Conglomerates,Micro,-14.72,8.695652173913036,8.361204013377927,-3.0100334448160635,-5.685618729097002,True,True,SL_HIT,8.36,09:43,14:59,14:27
MNTS,2026-04-13,4.9,64.4,-58.87,34.25,7.48,60.31,2.38,4.89,7.22,9107534.0,28090000.0,9.0,342.39,-5.04,-88.75,40.9,27.79,,65.61,21.53,11.21,328.0,Industrials,Aerospace & Defense,Micro,-7.96,72.4489795918367,5.10204081632653,1.2244897959183594,31.020408163265294,False,True,SL_HIT,5.1,09:29,14:59,14:57
RECT,2026-04-13,2.24,79.71,-749.68,20.43,100.0,83.88,5.17,55.0,-2.61,123279249.0,32500000.0,8.0,44.04,-22.76,-57.01,86.77,35.32,,97.16,48.91,8.73,367.0,Consumer Cyclical,Specialty Retail,Micro,-55.36,-3.1250000000000124,-17.410714285714292,-10.714285714285724,-28.125,True,False,TP_HIT,-17.41,08:50,14:59,10:39
RMSG,2026-04-13,2.37,97.11,-7659.11,150.4,78.37,87.34,7.05,101.38,18.23,392538974.0,11990000.0,12.0,33.65,-13.19,-56.59,403.73,23.92,,97.94,97.11,0.24,88.0,Technology,Software - Application,Micro,-34.6,59.49367088607593,18.1434599156118,1.2658227848101182,26.160337552742618,True,True,SL_HIT,18.14,12:54,14:59,13:35
ROLR,2026-04-14,7.54,61.41,-715.69,-28.26,79.67,78.73,4.71,106.48,-14.58,88828023.0,82110000.0,8.0,42.58,-35.78,-77.61,48.13,0.0,,65.15,34.05,1.92,376.0,Consumer Cyclical,Gambling,Micro,-23.08,14.58885941644563,-9.018567639257292,-20.424403183023873,0.2652519893899148,True,True,SL_HIT,-9.02,08:45,14:58,08:50
ASTI,2026-04-15,6.28,66.86,-21.18,56.22,5.29,66.11,3.4,1.01,9.92,11465341.0,59420000.0,10.0,92.03,-8.45,-36.37,57.79,49.02,,66.96,26.33,10.54,255.0,Technology,Solar,Micro,-24.2,7.32484076433121,-2.7070063694267503,1.1146496815286528,-20.859872611464976,True,True,SL_HIT,-2.71,10:40,14:59,14:54
BIRD,2026-04-15,19.3,96.01,-3011.17,181.96,100.0,93.94,9.92,174.9,16.45,271010002.0,168120000.0,8.0,93.11,-20.61,-20.61,675.1,249.17,,96.69,35.33,11.3,343.0,Consumer Cyclical,Apparel Retail,Micro,-60.88,-25.18134715025907,-25.44041450777202,-43.47150259067358,-56.32124352331607,True,False,TP_HIT,-25.41,08:47,14:59,09:25
FLYX,2026-04-15,2.96,60.2,96.49,29.82,6.14,64.85,2.98,2.7,7.9,3313871.0,279700000.0,11.0,23.24,-2.31,-66.67,33.53,16.67,,60.55,29.34,9.46,190.0,Industrials,Airlines,Micro,-27.33,17.905405405405414,1.3513513513513526,5.067567567567564,-22.97297297297298,True,True,SL_HIT,1.35,11:47,14:59,14:52
KMRK,2026-04-15,2.76,62.35,95.83,39.75,21.19,69.69,4.66,-1.74,0.55,879802.0,58230000.0,9.0,25.61,-21.14,-49.82,37.31,35.34,,69.95,18.85,11.26,298.0,Consumer Cyclical,Leisure,Micro,-2.9,59.78260869565219,-2.898550724637668,24.275362318840596,32.24637681159421,False,True,SL_HIT,-2.9,09:57,14:59,14:42
MNTS,2026-04-15,7.0,77.92,-165.63,29.15,9.86,74.54,2.5,9.27,5.58,15220749.0,40110000.0,8.0,99.76,-6.29,-83.93,41.13,24.33,,81.3,23.35,16.7,344.0,Industrials,Aerospace & Defense,Micro,-25.0,20.714285714285705,-8.428571428571427,8.999999999999998,-20.714285714285715,True,True,SL_HIT,-8.43,08:47,14:59,14:49
SKLZ,2026-04-15,4.21,73.02,91.34,47.72,21.19,77.03,5.1,1.79,9.16,1351780.0,65680000.0,9.0,80.28,-6.24,-53.79,50.36,29.94,,73.2,31.92,9.83,326.0,Communication Services,Electronic Gaming & Multimedia,Micro,-16.15,1.9002375296912133,-0.23752969121139636,-7.838479809976248,-12.58907363420427,True,False,TP_HIT,-0.24,09:29,14:59,14:58
XNDU,2026-04-15,25.7,67.88,80.3,50.12,8.76,88.76,4.52,15.44,9.99,8508706.0,1110000000.0,8.0,0.21,-9.03,-9.03,73.3,63.38,,67.88,11.82,20.5,343.0,Technology,Software - Infrastructure,Mid+,-19.3,65.13618677042801,14.785992217898835,27.120622568093395,35.21400778210117,True,True,SL_HIT,14.79,08:47,14:59,14:59
ARTV,2026-04-16,12.35,62.81,95.27,37.53,6.23,83.67,3.76,-1.32,9.95,1169819.0,305250000.0,11.0,17.13,-0.56,-0.56,35.71,17.96,,62.81,34.23,8.07,215.0,Healthcare,Biotechnology,Micro,-14.9,17.65182186234818,2.6720647773279356,1.6194331983805754,,True,True,SL_HIT,2.67,11:21,14:59,14:59
DARE,2026-04-16,2.49,68.7,87.45,37.57,21.53,82.15,6.1,1.12,5.96,1831044.0,36320000.0,11.0,91.43,-10.43,-72.91,39.37,20.77,,71.68,38.62,10.46,233.0,Healthcare,Biotechnology,Micro,-13.59,37.75100401606425,31.32530120481927,18.473895582329313,,True,True,SL_HIT,31.33,11:04,14:59,14:48
ENVB,2026-04-16,2.35,76.33,-467.81,19.9,29.4,63.73,5.5,-3.45,-4.6,10703886.0,4430000.0,11.0,97.9,-23.7,-86.83,15.76,25.94,,94.92,48.74,6.37,198.0,Healthcare,Biotechnology,Micro,-27.23,131.06382978723403,-16.59574468085107,-22.5531914893617,,True,True,SL_HIT,-16.6,11:38,14:59,12:01
MYSE,2026-04-16,3.49,62.78,-4686.67,-36.72,100.0,83.34,6.59,282.99,-14.32,204084843.0,14880000.0,8.0,93.19,-39.51,-39.51,142.71,0.0,,66.58,58.16,0.92,368.0,Technology,Software - Application,Micro,-5.73,13.18051575931232,8.595988538681942,9.169054441260739,,False,True,SL_HIT,8.74,08:45,14:59,08:45
PBM,2026-04-16,6.17,86.85,-13923.38,119.57,100.0,88.92,9.84,-2.43,-1.91,42047426.0,1850000.0,11.0,12.76,-38.11,-98.68,114.24,171.63,,96.83,48.53,11.1,232.0,Healthcare,Biotechnology,Micro,15.24,174.87844408427878,59.15721231766613,23.17666126418152,,False,True,SL_HIT,59.16,11:05,14:59,11:48
RMSG,2026-04-16,2.64,85.05,-838.78,49.15,3.49,71.22,3.76,-1.12,4.07,47614807.0,13390000.0,10.0,33.65,-21.19,-51.65,47.49,53.77,,90.91,38.08,10.19,290.0,Technology,Software - Application,Micro,-26.52,43.181818181818166,-8.712121212121211,2.651515151515145,,True,True,SL_HIT,-8.71,10:07,14:59,13:14
WNW,2026-04-16,6.21,73.01,-1123.14,67.84,61.72,24.68,0.14,17.09,15.07,16269146.0,8260000.0,8.0,4.06,-5.19,-99.54,96.58,75.96,,73.11,33.71,10.41,367.0,Consumer Cyclical,Internet Retail,Micro,-36.71,7.085346215781005,-23.349436392914658,-5.475040257648951,,True,True,SL_HIT,-23.35,08:45,14:59,14:32
BBGI,2026-04-17,22.62,64.95,22.83,62.85,1.09,87.28,4.37,-0.79,11.05,1394016.0,40860000.0,12.0,63.82,-8.75,-14.22,61.57,50.91,,64.99,32.55,7.61,138.0,Communication Services,Broadcasting,Micro,-28.29,-9.416445623342186,-16.48983200707339,-15.959328028293543,,True,False,TP_HIT,-16.49,12:41,14:59,14:55
EFOI,2026-04-17,6.86,84.36,-2467.39,28.22,100.0,94.95,6.98,155.98,-5.16,161902725.0,43260000.0,8.0,46.25,-30.28,-30.21,228.23,66.01,,95.75,60.62,5.51,376.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Micro,-34.4,-9.620991253644316,-12.53644314868805,-20.699708454810494,,True,False,TP_HIT,-12.54,08:45,14:59,09:26
FGI,2026-04-17,6.76,61.02,77.52,35.2,4.48,69.93,2.81,3.31,9.03,433048.0,13020000.0,9.0,27.15,-3.15,-46.43,39.57,19.79,,61.02,28.53,8.24,322.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Micro,5.03,83.87573964497041,10.502958579881657,44.822485207100584,,False,True,SL_HIT,10.46,09:39,14:59,14:59
FRMM,2026-04-17,5.08,81.5,-55.33,69.9,61.54,72.5,5.93,26.16,13.82,31553172.0,103190000.0,8.0,69.66,-8.47,-97.09,114.35,71.48,,81.5,14.37,20.17,376.0,Technology,Software - Application,Micro,-31.89,-8.464566929133852,-26.77165354330708,-26.968503937007878,,True,False,TP_HIT,-26.77,08:45,14:59,14:59
MAAS,2026-04-17,10.15,65.06,99.89,36.24,7.43,80.74,4.1,-0.4,9.32,331137.0,3180000000.0,9.0,0.0,-1.41,-27.47,35.73,18.16,,65.11,35.04,9.11,313.0,Financial Services,Asset Management,Mid+,-22.76,105.81280788177341,-4.23645320197044,1.8719211822660047,,True,True,SL_HIT,-4.24,09:47,14:59,14:48
ENVB,2026-04-20,3.79,60.71,-8135.23,-9.65,100.0,73.28,4.06,130.49,-10.57,155361191.0,7150000.0,8.0,97.9,-30.19,-78.76,107.98,15.82,,84.36,54.95,4.62,377.0,Healthcare,Biotechnology,Micro,-21.11,2.374670184696566,-9.498680738786277,-11.081794195250657,,True,False,TP_HIT,-9.5,08:45,14:59,08:56
FGI,2026-04-20,9.67,64.67,-25.31,29.5,23.21,81.88,4.13,14.88,2.64,2415427.0,18640000.0,8.0,27.52,-15.77,-23.38,48.77,46.32,,70.34,20.2,11.64,376.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Micro,-26.11,28.541882109617372,5.791106514994834,17.06308169596691,,True,True,SL_HIT,5.79,08:46,14:59,13:40
INV,2026-04-20,5.99,61.28,92.89,31.36,3.58,74.77,3.51,-0.87,7.44,5694385.0,480020000.0,9.0,73.61,-3.15,-13.94,30.33,11.5,,61.6,38.45,8.09,325.0,Financial Services,Asset Management,Small,-5.01,7.345575959933213,3.50584307178631,1.1686143572620935,,False,True,SL_HIT,3.51,09:36,14:59,14:55
CLIK,2026-04-21,3.83,66.82,-1110.98,13.65,50.87,61.41,1.8,31.13,5.03,39523000.0,12500000.0,8.0,13.28,-4.73,-88.8,49.03,22.02,,75.64,42.7,8.62,375.0,Consumer Cyclical,Personal Services,Micro,-21.67,-10.96605744125326,-19.060052219321147,-11.227154046997393,,True,False,TP_HIT,-19.06,08:45,14:59,14:14
EUDA,2026-04-23,12.18,64.81,-78.44,83.43,100.0,60.71,6.31,9.93,-4.65,4496282.0,30690000.0,8.0,61.64,-37.54,-85.84,101.66,,,67.75,13.75,9.42,368.0,Real Estate,Real Estate Services,Micro,-18.39,27.42200328407225,-18.390804597701152,-11.658456486042693,,True,True,SL_HIT,-18.39,8:51,14:59,nan
NCEL,2026-04-23,4.87,63.97,93.13,31.27,8.52,86.46,4.15,1.37,7.82,313137.0,22190000.0,10.0,39.85,-2.4,-84.19,33.06,,,64.25,21.77,12.06,298.0,Healthcare,Biotechnology,Micro,-20.94,-3.2854209445585245,-6.981519507186855,-3.2854209445585245,,True,False,TP_HIT,-6.98,10:03,14:59,nan
SKLZ,2026-04-23,11.69,71.35,-47.09,222.93,100.0,91.61,11.18,-1.63,0.37,22946606.0,182370000.0,11.0,80.28,-41.55,-41.55,217.66,,,75.93,40.53,6.97,213.0,Communication Services,Electronic Gaming & Multimedia,Micro,-46.11,-21.64242942686056,-26.34730538922156,-32.76304533789563,,True,False,TP_HIT,-26.39,11:28,14:59,nan
SST,2026-04-23,3.96,72.98,-181.69,32.0,11.34,61.39,2.13,7.14,7.61,27877445.0,39190000.0,9.0,55.65,-8.55,-73.6,41.43,,,73.63,15.84,11.48,334.0,Industrials,Specialty Business Services,Micro,-5.81,25.252525252525253,25.252525252525253,-1.262626262626258,,False,True,SL_HIT,25.25,9:32,14:59,nan
TRT,2026-04-23,12.18,69.89,-240.89,10.73,100.0,88.33,5.05,33.17,-7.0,29823958.0,106560000.0,8.0,57.35,-25.5,-25.5,47.44,,,92.23,20.87,14.91,374.0,Technology,Semiconductor Equipment & Materials,Micro,-13.26,55.58292282430213,-2.627257799671595,34.72906403940887,,True,True,SL_HIT,-2.67,8:45,14:59,nan
AKAN,2026-04-24,12.54,75.28,-912.15,30.49,4.39,84.93,3.6,2.56,2.09,5415872.0,6710000.0,13.0,6.02,-16.94,-94.01,33.88,,,87.33,44.59,16.14,94.0,Healthcare,Drug Manufacturers - Specialty & Generic,Micro,-16.75,3.3492822966507316,-8.532695374800626,-1.355661881977671,,True,False,TP_HIT,-8.53,13:23,14:59,nan
ENVB,2026-04-24,5.05,71.43,-2088.71,24.08,12.69,79.91,5.03,1.24,-10.72,41303862.0,9530000.0,9.0,93.17,-35.91,-71.7,25.62,,,94.41,28.44,9.2,357.0,Healthcare,Biotechnology,Micro,-5.15,28.118811881188115,-5.148514851485145,0.594059405940599,,False,True,SL_HIT,-5.15,9:03,14:59,nan
TRT,2026-04-24,16.19,68.35,14.4,36.39,13.1,91.1,5.23,-13.86,6.02,7490291.0,141660000.0,11.0,57.42,-15.24,-15.24,17.49,,,71.2,58.54,2.99,195.0,Technology,Semiconductor Equipment & Materials,Micro,-21.37,-4.323656578134657,-12.229771463866586,-12.353304508956157,,True,False,TP_HIT,-12.26,11:44,14:59,nan
AKAN,2026-04-28,18.83,86.21,-1129.48,52.22,4.72,93.76,6.07,0.0,-2.74,6575075.0,10070000.0,12.0,6.02,-30.13,-30.13,55.62,,,96.52,47.12,9.32,171.0,Healthcare,Drug Manufacturers - Specialty & Generic,Micro,-0.88,63.5156664896442,-0.9028146574614879,35.95326606479025,,False,True,SL_HIT,-0.88,12:08,14:59,nan
AKAN,2026-04-29,25.34,83.64,-2152.48,35.76,7.94,95.89,3.8,6.66,1.64,12044660.0,13550000.0,8.0,6.02,-17.69,-17.69,44.88,,,92.43,27.24,15.84,371.0,Healthcare,Drug Manufacturers - Specialty & Generic,Micro,31.99,110.89187056037883,33.82004735595894,92.42304656669297,,False,True,SL_HIT,33.82,08:46,14:59,nan
RDAC,2026-04-29,19.52,93.47,-147.8,91.37,100.0,99.34,10.08,95.4,9.94,14745850.0,116160000.0,8.0,54.21,-17.09,-17.09,298.37,,,93.47,19.27,18.51,372.0,Financial Services,Shell Companies,Micro,-47.59,-34.32377049180327,-40.625,-44.21106557377048,,True,False,TP_HIT,-40.65,08:45,14:59,nan
AIOS,2026-05-01,23.0,76.59,-92.7,54.67,72.94,99.17,7.47,3440.48,-0.99,6261002.0,74730000.0,8.0,65.54,-27.72,-27.72,146.78,179.11,,86.11,13.19,22.85,372.0,Technology,Information Technology Services,Micro,-38.26,-34.2608695652174,-34.2608695652174,-34.73913043478261,,True,False,TP_HIT,-34.26,08:45,14:59,14:45
TLIH,2026-05-01,3.56,84.65,-560.71,24.91,93.4,97.82,5.35,1011.98,-2.73,19431628.0,10470000.0,8.0,18.6,-22.1,-47.99,46.68,59.23,,100.0,19.86,11.09,377.0,Industrials,Industrial Distribution,Micro,-9.55,3.3707865168539355,-8.426966292134837,3.3707865168539355,,False,False,PARTIAL,-8.43,08:45,14:59,10:17
