ticker,rh_scan_date,dl_drop_date,days_rh_to_dl,rh_score,rh_mxv,rh_runup,rh_scan_price,rh_max_drop,rh_hit_tp10,rh_outcome,dl_pct_change,dl_close,dl_volume,dl_market_cap,dl_gap_down_pct,dl_intraday_reversal_pct,dl_rsi_14,dl_volume_ratio,dl_sector,dl_market_cap_category,dl_post_max_recovery_5d_pct,dl_post_max_further_drop_5d_pct,dl_post_pattern_tag,dl_post_d5_pct
MNTS,2026-04-06,2026-04-02,-4,27.41,-87.01,6.06,3.5,-11.14,True,BOTH,-12.06,3.28,1783500,5476166.0,-3.49,3.8,30.42,1.94,Industrials,Nano,10.9756,-1.5244,Full Recovery,6.0976
PRFX,2026-04-06,2026-04-07,1,49.86,-3234.37,5.77,2.54,-16.54,True,BOTH,-11.07,2.25,312883,1900239.0,-7.11,3.69,44.0,0.11,Healthcare,Nano,22.2222,4.0,Full Recovery,22.2222
SKYQ,2026-04-06,2026-04-14,8,75.32,-434.38,25.96,5.92,-15.54,True,BOTH,-20.83,9.2,3733690,34568540.0,-13.34,8.24,65.92,0.09,Energy,Nano,20.5435,-12.9348,Dead Cat Bounce,-2.5
SKYQ,2026-04-06,2026-04-16,10,75.32,-434.38,25.96,5.92,-15.54,True,BOTH,-11.45,9.82,1298519,36898156.0,-6.04,1.97,64.26,0.03,Energy,Nano,-7.0265,-28.1059,Continued Drop,-28.1059
SMX,2026-04-06,2026-04-07,1,76.91,-641.16,56.56,12.65,-56.05,True,TP_HIT,-37.31,8.15,2964917,24768370.0,-14.46,1.23,34.98,1.18,Industrials,Nano,-21.8405,-38.1595,Continued Drop,-38.1595
SMX,2026-04-06,2026-04-08,2,76.91,-641.16,56.56,12.65,-56.05,True,TP_HIT,-23.44,6.24,2878557,18963758.0,-3.68,2.63,33.63,1.05,Industrials,Nano,2.0833,-19.2308,Sideways,-15.2244
SMX,2026-04-06,2026-04-14,8,76.91,-641.16,56.56,12.65,-56.05,True,TP_HIT,-16.56,5.04,1768428,15316882.0,-4.14,0.8,32.66,0.52,Industrials,Nano,9.3254,-13.6905,Dead Cat Bounce,-13.6905
ADVB,2026-04-07,2026-04-16,9,53.86,-971.29,-11.48,6.32,-4.75,False,SL_HIT,-23.06,4.77,32745,6508836.0,-1.94,2.58,44.25,0.02,Healthcare,Nano,35.6394,0.6289,Full Recovery,35.6394
AGPU,2026-04-07,2026-04-10,3,46.75,-114.4,9.68,4.76,-32.77,True,BOTH,-17.77,3.98,455938,22046282.0,-0.21,1.79,62.56,0.04,Technology,Nano,-9.2965,-14.3216,Continued Drop,-11.5578
AGPU,2026-04-07,2026-04-13,6,46.75,-114.4,9.68,4.76,-32.77,True,BOTH,-14.32,3.41,456568,18888900.0,-1.26,6.56,55.34,0.04,Technology,Nano,35.4839,1.7595,Full Recovery,35.4839
AIXI,2026-04-07,2026-04-08,1,95.91,-4336.03,108.11,2.31,-58.7,True,TP_HIT,-26.67,1.43,144963501,19089704.0,-14.87,32.41,73.41,0.57,Technology,Nano,-9.0909,-30.6993,Continued Drop,-20.2797
AIXI,2026-04-07,2026-04-09,2,95.91,-4336.03,108.11,2.31,-58.7,True,TP_HIT,-30.68,0.99,53886384,13233304.0,-27.97,3.88,61.06,0.2,Technology,Nano,31.3131,-4.0404,Dead Cat Bounce,-4.0404
AIXI,2026-04-07,2026-04-14,7,95.91,-4336.03,108.11,2.31,-58.7,True,TP_HIT,-16.92,1.08,26010880,14417400.0,-17.69,8.0,59.95,0.09,Technology,Nano,5.5556,-23.1481,Dead Cat Bounce,-23.1481
AIXI,2026-04-07,2026-04-16,9,95.91,-4336.03,108.11,2.31,-58.7,True,TP_HIT,-16.65,0.95,8683793,12684642.0,-15.79,0.01,56.24,0.03,Technology,Nano,13.6842,-12.6316,Full Recovery,13.6842
KPRX,2026-04-07,2026-04-09,2,50.65,-557.61,-7.3,2.16,1.85,False,SL_HIT,-13.29,2.48,360240,9797558.0,-6.64,1.22,61.92,0.13,Healthcare,Nano,2.4194,-1.6129,Full Recovery,0.4032
LNZA,2026-04-07,2026-04-16,9,61.44,98.4,52.16,27.8,-9.82,False,SL_HIT,-13.33,35.9,64132,362200960.0,0.0,2.97,69.07,1.24,Industrials,Small,-30.3621,-37.1309,Continued Drop,-30.3621
LNZA,2026-04-07,2026-04-17,10,61.44,98.4,52.16,27.8,-9.82,False,SL_HIT,-37.13,22.57,160200,227712400.0,0.47,4.98,49.1,2.85,Industrials,Micro,10.7665,5.4497,Full Recovery,10.6779
MIGI,2026-04-07,2026-04-02,-5,46.68,-474.45,-7.17,2.85,-5.26,False,SL_HIT,-11.4,1.71,260800,1950401.0,-1.55,0.59,20.38,3.75,Financial Services,Nano,159.0643,51.462,Full Recovery,149.1228
SKYQ,2026-04-07,2026-04-14,7,53.74,-1793.22,2.98,6.56,-23.78,True,BOTH,-20.83,9.2,3733690,34568540.0,-13.34,8.24,65.92,0.09,Energy,Nano,20.5435,-12.9348,Dead Cat Bounce,-2.5
SKYQ,2026-04-07,2026-04-16,9,53.74,-1793.22,2.98,6.56,-23.78,True,BOTH,-11.45,9.82,1298519,36898156.0,-6.04,1.97,64.26,0.03,Energy,Nano,-7.0265,-28.1059,Continued Drop,-28.1059
SKYQ,2026-04-07,2026-04-17,10,53.74,-1793.22,2.98,6.56,-23.78,True,BOTH,-18.43,8.01,1221700,30097176.0,-11.91,6.52,56.61,0.03,Energy,Nano,13.9825,-25.0936,Dead Cat Bounce,-25.0936
BBGI,2026-04-08,2026-04-13,5,67.61,-2739.6,9.4,5.7,-10.88,True,BOTH,-11.56,10.4,1566964,18761536.0,5.95,10.64,77.94,0.22,Communication Services,Nano,106.8269,31.9231,Full Recovery,82.7885
CLIK,2026-04-08,2026-04-10,2,69.42,-122.59,46.83,2.1,8.1,False,SL_HIT,-20.58,2.74,538679,8940710.0,-10.14,20.7,52.64,0.14,Consumer Cyclical,Nano,7.2993,-3.6496,Dead Cat Bounce,-3.6496
MASK,2026-04-08,2026-04-10,2,41.68,-1246.68,4.41,2.13,-23.94,True,TP_HIT,-12.44,1.76,231047,1988104.0,0.0,6.67,37.28,0.02,Technology,Nano,1.7045,-4.5455,Sideways,-4.5455
UCAR,2026-04-08,2026-04-09,1,79.21,-10117.84,130.06,2.01,-37.31,True,BOTH,-31.09,1.64,52322876,3498362.0,-2.1,21.34,35.98,0.98,Consumer Cyclical,Nano,42.0732,-29.878,Dead Cat Bounce,-29.878
UCAR,2026-04-08,2026-04-13,5,79.21,-10117.84,130.06,2.01,-37.31,True,BOTH,-19.31,1.88,4939832,4010318.0,-17.6,13.94,38.56,0.08,Consumer Cyclical,Nano,-19.6809,-38.8298,Continued Drop,-20.2128
UCAR,2026-04-08,2026-04-14,6,79.21,-10117.84,130.06,2.01,-37.31,True,BOTH,-19.68,1.51,4249143,3221053.0,-12.23,0.0,37.02,0.07,Consumer Cyclical,Nano,-0.6623,-23.8411,Sideways,-3.9735
UCAR,2026-04-08,2026-04-16,8,79.21,-10117.84,130.06,2.01,-37.31,True,BOTH,-15.44,1.15,1519850,2453120.0,-6.25,0.84,35.48,0.02,Consumer Cyclical,Nano,46.9565,26.087,Full Recovery,46.9565
AFJK,2026-04-09,2026-04-10,1,30.0,93.51,143.89,71.24,-45.31,True,TP_HIT,-17.48,56.0,77244,342817056.0,-6.72,9.76,69.68,1.42,Financial Services,Small,-7.5,-27.8571,Continued Drop,-19.0893
AFJK,2026-04-09,2026-04-13,4,30.0,93.51,143.89,71.24,-45.31,True,TP_HIT,-27.86,40.4,21692,247318016.0,-6.96,3.7,54.84,0.35,Financial Services,Micro,28.2178,0.9901,Full Recovery,0.9901
ANTA,2026-04-09,2026-04-17,8,28.08,99.77,41.26,9.86,-18.76,True,TP_HIT,-11.0,9.3,4900,223130400.0,-0.48,0.0,59.2,0.32,Financial Services,Micro,5.0538,-3.2151,Full Recovery,2.1505
BBGI,2026-04-09,2026-04-13,4,45.4,-150.29,71.61,9.25,-10.16,True,BOTH,-11.56,10.4,1566964,18761536.0,5.95,10.64,77.94,0.22,Communication Services,Nano,106.8269,31.9231,Full Recovery,82.7885
CLIK,2026-04-09,2026-04-10,1,48.98,-809.39,22.78,3.18,-28.62,True,TP_HIT,-20.58,2.74,538679,8940710.0,-10.14,20.7,52.64,0.14,Consumer Cyclical,Nano,7.2993,-3.6496,Dead Cat Bounce,-3.6496
ELAB,2026-04-09,2026-04-07,-2,30.34,-1290.13,4.3,6.81,-33.63,True,TP_HIT,-10.16,3.45,5315278,3998940.0,-11.43,4.55,43.87,0.18,Healthcare,Nano,52.4638,26.9565,Full Recovery,26.9565
