Ticker,ScanDate,Score,MxV,RunUp,RSI,ATRX,REL_VOL,Gap,TypicalPriceDist,Volume,MarketCap,Float%,PriceToHigh,PriceTo52WHigh,ScanPrice,ScanChange%,IntraHigh,IntraLow,DayRunUp%,PeakScoreTime,PeakScorePrice,CurrentPrice,EntryChange%,MaxDrop%,BestDay,TP10_Hit,TP15_Hit,TP20_Hit,Volume_raw,MarketCap_raw,Float_pct_raw,PriceToHigh_raw,PriceTo52WHigh_raw,MxV_calc,REL_VOL_calc,Open_price_raw,PrevClose_raw,High_today_raw,Low_today_raw,TypicalPrice_raw,ATR14_raw,Week52High_raw,AvgVolume_raw,FloatShares_raw,SharesOutstanding_raw,ATRX_calc,RunUp_calc,Gap_calc,TypicalPriceDist_calc,cat_merger_acquisition,cat_fda_approval,cat_clinical_trial,cat_marketing_announcement,cat_earnings_report,cat_regulatory_compliance,cat_lawsuit,cat_share_dilution,cat_reverse_split,cat_no_clear_reason,D1_Gap%,FirstScanTime,LastScanTime,ScanCount,ScoreAtFirst,ScoreAtLast,ScoreMax,ScoreMin,ScoreStd,Score_I,Score_B,Score_C,Score_D,Score_E,Score_F,Score_G,Score_H,PeakScore,D0_Close,D0_Volume,D0_Drop%,IntraDay_TP10,SL_Hit_D0,MinToClose,D1_Open,D1_High,D1_Low,D1_Close,D2_Open,D2_High,D2_Low,D2_Close,SL_Hit_D5,IntraDay_SL,D0_Open,D0_High,D0_Low,D0_Drop%_from_High,Price_vs_SMA20,Consecutive_Up,RealFloat,RealFloat_M,Sector,Industry,MarketCapCategory,EntryScore,D3_Open,D3_High,D3_Low,D3_Close,D4_Open,D4_High,D4_Low,D4_Close,D5_Open,D5_High,D5_Low,D5_Close,audit_flag,Score_recalc_date,DaysSinceIPO,score_version
SMX,2026-04-06,76.91,-641.16,56.56,37.03,3.52,41.42,-4.49,-6.09,21455441.0,36620000.0,705.99,-35.72,-99.67,12.65,49.53,15.63,12.32,15.35,12:09,15.63,6.33,-49.96,-56.05,4.0,1.0,1.0,1.0,21455441.0,36620000.0,705.99,-35.72,-99.67,-641.16,25.93,8.08,8.46,19.68,8.08,13.5867,3.2991,3879.361,827481.0,1790106.0,3039063.0,3.52,60.89,-4.49,-4.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-12.09,nan,nan,nan,nan,nan,nan,nan,nan,92.33,77.76,52.78,90.31,70.4,54.03,92.33,75.85,nan,13.0,22044100.0,2.77,nan,nan,nan,11.12,11.62,8.05,8.15,7.85,8.14,6.08,6.24,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.07,6.55,5.93,6.26,6.18,7.75,5.56,6.37,6.18,6.3,6.0,6.04,CLEAN,2026-04-16 20:05,nan,v1
ADVB,2026-04-07,53.86,-971.29,-11.48,72.0,2.65,67.54,61.54,-4.96,14628545.0,8630000.0,1072.05,-16.73,-89.07,6.32,43.1,nan,nan,nan,nan,nan,6.07,-3.96,-4.75,1.0,0.0,0.0,0.0,14628545.0,8630000.0,1072.05,-16.73,-89.07,-971.29,67.54,7.135,4.42,7.59,6.04,6.7167,0.5851,57.8,216584.0,368843.0,1364536.0,2.65,-8.62,61.43,-2.93,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.48,nan,nan,nan,nan,nan,nan,nan,nan,67.78,43.74,27.37,60.99,38.01,24.91,62.78,45.43,nan,6.52,14958000.0,3.16,nan,nan,nan,6.1,6.52,6.02,6.34,6.26,6.98,6.07,6.69,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.38,6.62,6.26,6.6,6.47,6.56,6.31,6.55,6.33,6.51,6.31,6.31,CLEAN,2026-04-16 20:05,nan,v1
AGPU,2026-04-07,46.75,-114.4,9.68,79.83,3.43,3.92,2.12,-7.21,7245070.0,16085270.0,213.5,-26.32,-85.17,4.76,12.0,nan,nan,nan,nan,nan,4.29,-9.87,-32.77,4.0,1.0,1.0,1.0,7245070.0,16085270.0,213.5,-26.32,-85.17,-114.4,3.92,4.34,4.25,6.46,4.17,5.13,0.6678,32.1,1849430.0,2967496.0,5539267.0,3.43,9.68,2.12,-7.21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.21,nan,nan,nan,nan,nan,nan,nan,nan,60.31,33.74,23.02,52.76,23.65,27.55,43.07,41.52,nan,4.76,7316900.0,0.0,nan,nan,nan,4.75,5.16,4.11,4.5,4.45,5.28,3.9,4.84,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.83,5.23,3.91,3.98,3.93,4.03,3.2,3.41,3.34,3.84,3.34,3.47,CLEAN,2026-04-16 20:05,nan,v1
AIXI,2026-04-07,95.91,-4336.03,108.11,94.54,8.54,18.89,38.06,16.85,595311383.0,31000000.0,4459.45,-14.76,-42.54,2.31,186.76,nan,nan,nan,nan,nan,1.34,-41.99,-58.7,2.0,1.0,1.0,1.0,595311383.0,31000000.0,4459.45,-14.76,-42.54,-4336.03,18.89,1.11,0.804,2.71,0.911,1.857,0.2107,4.02,31507751.0,25475204.0,13349444.0,8.54,75.68,38.06,5.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-28.14,nan,nan,nan,nan,nan,nan,nan,nan,100.0,100.0,100.0,100.0,100.0,93.7,100.0,100.0,nan,1.95,663054300.0,-15.58,nan,nan,nan,1.66,1.78,1.08,1.43,1.03,1.3,0.95,0.99,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.51,1.6,1.13,1.22,1.23,1.4,1.14,1.3,1.07,1.15,1.0,1.08,SUSPICIOUS,2026-04-16 20:05,nan,v1
KPRX,2026-04-07,50.65,-557.61,-7.3,59.89,3.15,100,15.35,-5.95,25919391.0,8513603.0,656.08,-16.28,-48.33,2.16,6.93,nan,nan,nan,nan,nan,2.57,18.98,1.85,1.0,0.0,0.0,0.0,25919391.0,8513603.0,656.08,-16.28,-48.33,-557.61,544.28,2.33,2.02,2.58,2.15,2.2967,0.1364,4.18,47621.0,3815438.0,3950628.0,3.15,-7.3,15.35,-5.95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.85,nan,nan,nan,nan,nan,nan,nan,nan,63.76,43.56,20.51,50.19,31.07,23.29,38.76,41.91,nan,2.16,26176200.0,0.0,nan,nan,nan,2.2,2.91,2.2,2.86,2.67,2.77,2.45,2.48,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.5,2.6,2.37,2.47,2.39,2.45,2.35,2.44,2.49,2.53,2.36,2.44,CLEAN | REL_VOL_CAPPED_from_544.28,2026-04-16 20:05,nan,v1
LNZA,2026-04-07,61.44,98.4,52.16,71.95,2.6,5.49,1.47,14.0,161639.0,280440000.0,1.6,-0.29,-60.96,27.8,54.37,nan,nan,nan,nan,nan,26.51,-4.64,-9.82,2.0,0.0,0.0,0.0,161639.0,280440000.0,1.6,-0.29,-60.96,98.4,5.49,18.27,18.005,27.88,17.475,24.2717,3.9993,71.2,29436.0,5199349.0,10089163.0,2.6,50.3,1.47,13.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.51,nan,nan,nan,nan,nan,nan,nan,nan,39.46,54.23,59.97,54.62,46.57,68.4,55.44,62.06,nan,27.46,186500.0,-1.22,nan,nan,nan,27.38,28.45,25.76,26.04,26.04,26.35,25.07,26.06,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.0,29.5,26.0,27.15,27.85,34.4,26.87,34.02,33.1,39.99,31.39,37.93,CLEAN,2026-04-16 20:05,nan,v1
MGRT,2026-04-07,54.26,98.36,39.92,88.83,3.24,2.31,-2.99,4.55,225478.0,356120000.0,1.64,-13.52,-18.68,25.9,35.74,nan,nan,nan,nan,nan,38.51,48.69,8.15,2.0,0.0,0.0,0.0,225478.0,356120000.0,1.64,-13.52,-18.68,98.36,2.31,18.51,19.08,29.95,18.468,25.356,3.5465,44.872,97585.0,3750038.0,13750000.0,3.24,49.38,-2.99,9.05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.85,nan,nan,nan,nan,nan,nan,nan,nan,38.92,50.22,44.77,47.86,38.02,50.63,48.54,55.69,nan,27.65,243400.0,6.76,nan,nan,nan,31.56,44.87,31.56,43.75,49.4,64.5,28.01,48.62,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46.38,54.0,33.0,49.3,46.0,52.88,43.0,49.24,48.46,77.0,47.72,73.3,CLEAN,2026-04-16 20:05,nan,v1
MIGI,2026-04-07,46.68,-474.45,-7.17,57.21,2.26,31.46,18.53,-5.0,6567496.0,3258291.0,574.45,-17.39,-92.88,2.85,10.04,nan,nan,nan,nan,nan,3.44,20.7,-5.26,1.0,0.0,0.0,0.0,6567496.0,3258291.0,574.45,-17.39,-92.88,-474.45,31.46,3.07,2.59,3.45,2.7,3.0033,0.3325,40.0,208746.0,2345797.0,1143259.0,2.26,-6.84,18.53,-4.77,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.4,nan,nan,nan,nan,nan,nan,nan,nan,60.71,40.04,17.14,49.0,29.12,20.04,55.71,37.97,nan,2.86,6691700.0,0.35,nan,nan,nan,2.89,4.89,2.7,4.26,4.41,5.14,3.92,4.43,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.38,4.93,3.64,4.26,4.87,4.94,4.18,4.9,4.91,6.41,4.9,6.12,CLEAN,2026-04-16 20:05,nan,v1
SKYQ,2026-04-07,53.74,-1793.22,2.98,74.48,2.35,17.45,27.4,-5.38,71140219.0,24650000.0,237.43,-21.15,-57.73,6.56,31.21,nan,nan,nan,nan,nan,6.02,-8.23,-23.78,1.0,1.0,1.0,1.0,71140219.0,24650000.0,237.43,-21.15,-57.73,-1793.22,17.45,6.37,5.0,8.32,5.92,6.8667,1.0192,15.52,4077303.0,3203563.0,3757449.0,2.35,-0.16,27.4,-7.38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-22.26,nan,nan,nan,nan,nan,nan,nan,nan,66.59,43.98,24.28,59.26,35.82,24.65,62.09,44.44,nan,6.36,73094900.0,-3.05,nan,nan,nan,5.1,7.5,5.0,6.61,7.16,9.56,6.91,7.29,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.75,15.35,7.62,12.59,18.8,19.45,11.02,11.62,10.07,10.27,8.5,9.2,CLEAN,2026-04-16 20:05,nan,v1
BBGI,2026-04-08,67.61,-2739.6,9.4,75.67,3.58,100,65.92,1.12,nan,nan,5269.84,-12.98,-78.38,5.7,81.53,6.43,5.17,24.37,13:27,6.43,nan,nan,-10.88,1.0,1.0,0.0,0.0,51162596.0,10270000.0,nan,nan,nan,-2739.6,810.87,5.21,3.14,6.55,4.66,5.6367,0.5272,26.37,63096.0,618788.0,970857.0,3.58,9.4,65.92,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.44,12:19,14:59,161.0,66.72,73.6,81.93,66.72,3.71,80.59,58.09,46.2,79.05,54.46,38.27,57.15,62.83,81.93,5.67,52492000.0,-0.53,0.0,1.0,93.0,5.39,13.16,5.08,11.02,9.49,12.8,8.31,11.76,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.39,14.61,9.4,10.4,10.34,14.95,10.26,14.75,13.67,15.5,13.13,13.72,CLEAN | REL_VOL_CAPPED_from_810.87,2026-04-16 20:05,nan,v1
CLIK,2026-04-08,69.42,-122.59,46.83,43.93,2.95,62.54,4.39,2.77,nan,nan,247.3,-19.23,-97.81,2.1,53.28,2.11,2.1,0.0,14:56,2.11,nan,nan,8.1,2.0,0.0,0.0,0.0,7260700.0,6850000.0,nan,nan,nan,-122.59,62.54,1.4302,1.37,2.6,1.4302,2.0434,0.3964,95.7,116100.0,389837.0,2935986.0,2.95,46.83,4.39,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.81,14:56,14:59,4.0,88.92,88.52,88.92,88.52,0.19,81.54,60.65,49.65,84.56,50.83,53.47,77.94,69.15,88.92,2.1,7565900.0,0.0,0.0,0.0,4.0,2.6,3.7,2.33,3.45,3.1,3.36,2.27,2.74,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.87,3.09,2.46,2.94,2.8,2.96,2.7,2.76,2.85,2.92,2.7,2.78,CLEAN,2026-04-16 20:05,nan,v1
MASK,2026-04-08,41.68,-1246.68,4.41,41.08,1.4,6.58,8.51,-7.33,nan,nan,1346.68,-23.93,-97.87,2.13,13.3,2.24,2.12,3.23,12:35,2.24,nan,nan,-23.94,4.0,1.0,1.0,1.0,15212198.0,2406058.0,nan,nan,nan,-1246.68,6.58,2.04,1.88,2.7999,1.9652,2.2984,0.598,100.0,2311885.0,426931.0,1129604.0,1.4,4.41,8.51,-7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,12:20,14:59,160.0,64.73,63.72,66.06,63.5,0.44,60.76,39.97,16.21,52.34,29.51,20.08,49.65,37.89,66.06,2.13,15279600.0,0.0,0.0,0.0,145.0,2.14,2.14,1.81,2.01,2.01,2.01,1.65,1.76,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.75,1.81,1.65,1.79,1.75,1.86,1.62,1.68,1.69,1.78,1.64,1.75,CLEAN,2026-04-16 20:05,nan,v1
MIGI,2026-04-08,83.75,-107.13,46.37,74.28,4.47,34.0,1.05,7.36,nan,nan,994.12,-13.5,-89.42,4.23,47.9,4.81,4.08,13.44,13:38,4.59,nan,nan,-13.95,2.0,1.0,0.0,0.0,11365330.0,23210000.0,nan,nan,nan,-107.13,34.0,2.89,2.86,4.8899,2.7,3.94,0.4894,40.0,334265.0,2345797.0,1143259.0,4.47,46.37,1.05,7.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26,12:19,14:59,161.0,65.45,94.94,98.38,64.72,9.0,81.57,69.69,60.35,84.13,53.13,67.75,81.58,82.52,98.38,4.26,11921400.0,0.71,0.0,1.0,82.0,4.41,5.14,3.92,4.43,4.38,4.93,3.64,4.26,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.87,4.94,4.18,4.9,4.91,6.41,4.9,6.12,6.3,6.67,5.82,6.27,CLEAN,2026-04-16 20:05,nan,v1
UCAR,2026-04-08,79.21,-10117.84,130.06,38.91,1.33,59.4,58.57,14.71,nan,nan,12027.68,-15.9,-95.96,2.01,264.53,2.39,2.01,0.0,14:55,2.39,nan,nan,-37.31,5.0,1.0,1.0,1.0,252141601.0,4960000.0,nan,nan,nan,-10117.84,59.4,0.8737,0.551,2.39,0.857,1.7523,1.153,49.8,4244969.0,428232.0,2096344.0,1.33,130.06,58.57,14.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.92,14:55,14:59,5.0,84.3,84.2,84.3,84.2,0.04,85.32,80.54,70.82,93.33,88.99,74.74,85.32,81.65,84.3,2.38,317652200.0,18.41,0.0,1.0,5.0,2.33,2.76,1.35,1.64,1.8,2.78,1.71,2.33,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.92,2.03,1.65,1.88,1.65,2.08,1.51,1.51,1.46,1.52,1.26,1.36,BROKEN,2026-04-21 10:40,nan,v1
