Ticker,ScanDate,Score,ScanPrice,ScanChange%,MxV,RunUp,RSI,ATRX,REL_VOL,Gap,TypicalPriceDist,PriceToHigh,PriceTo52WHigh,Float%,Volume_raw,MarketCap_raw,AvgVolume_raw,FloatShares_raw,SharesOutstanding_raw,Open_price_raw,PrevClose_raw,High_today_raw,Low_today_raw,TypicalPrice_raw,ATR14_raw,Week52High_raw,MxV_calc,REL_VOL_calc,RunUp_calc,Gap_calc,ATRX_calc,TypicalPriceDist_calc,cat_merger_acquisition,cat_fda_approval,cat_clinical_trial,cat_marketing_announcement,cat_earnings_report,cat_regulatory_compliance,cat_lawsuit,cat_share_dilution,cat_reverse_split,cat_no_clear_reason,MaxDrop%,BestDay,TP10_Hit,TP15_Hit,TP20_Hit,D1_Gap%,SL_Hit_D5,IntraDay_SL,FirstScanTime,LastScanTime,ScanCount,ScoreAtFirst,ScoreAtLast,ScoreMax,ScoreMin,ScoreStd,audit_flag,IntraHigh,IntraLow,PeakScoreTime,PeakScorePrice,PeakScore,DayRunUp%,D0_Close,D0_Volume,D0_Drop%,IntraDay_TP10,SL_Hit_D0,MinToClose,D1_Open,D1_High,D1_Low,D1_Close,D0_Open,D0_High,D0_Low,D0_Drop%_from_High,Price_vs_SMA20,Consecutive_Up,RealFloat,RealFloat_M,Sector,Industry,MarketCapCategory,DaysSinceIPO,score_version,D2_Open,D2_High,D2_Low,D2_Close,D3_Open,D3_High,D3_Low,D3_Close,D4_Open,D4_High,D4_Low,D4_Close,D5_Open,D5_High,D5_Low,D5_Close
FCHL,2026-05-14,71.87,2.81,38.33,-237.07,40.5,62.26,1.94,2.7,-1.96,9.77,-4.1,-62.53,511.35,4150394,3460000,1539973,6298330,1231697,2.0,2.04,2.93,1.94,2.56,0.5093,7.5,-237.07,2.7,40.5,-1.96,1.94,9.77,0,0,0,0,0,0,0,0,0,0,-46.09,5.0,1.0,1.0,1.0,-3.56,0.0,0.0,09:56,14:59,250,28.03,71.87,72.52,23.7,13.96,CLEAN,2.99,2.34,13:57,2.99,72.52,26.16,2.675,11851.0,-4.8,1,0,63,2.71,2.71,1.64,1.77,2.0,2.93,1.94,-8.7,140.55,1.0,,,Consumer Defensive,Education & Training Services,Micro,251.0,v2,1.66,1.7,1.66,1.7,1.69,1.7,1.61,1.61,1.72,1.75,1.52,1.52,1.58,1.58,1.51,1.51
LESL,2026-05-14,91.0,3.52,146.15,-325.27,96.65,80.19,8.28,100.0,23.45,5.6,-25.19,-49.24,97.5,39615419,32790000,156927,9084033,9316575,1.79,1.45,4.705,1.775,3.3333,0.3539,6.935,-325.27,100.0,96.65,23.45,8.28,5.6,0,0,0,0,0,0,0,0,0,0,-34.23,2.0,1.0,1.0,1.0,10.37,1.0,1.0,09:11,14:59,290,31.83,91.0,94.0,26.57,20.16,SUSPICIOUS,4.53,2.0,12:06,4.0,94.0,118.84,3.545,442351.0,0.71,1,1,174,3.88,4.16,2.65,3.07,1.79,4.705,1.775,-24.65,93.45,0.0,9124397.0,9.12,Consumer Cyclical,Specialty Retail,Micro,2022.0,v2,3.12,3.12,2.31,2.67,2.52,2.71,2.44,2.62,2.88,2.93,2.71,2.93,3.04,3.14,2.83,3.14
QUCY,2026-05-14,92.44,2.87,114.18,-1962.1,50.66,92.35,7.54,27.01,41.64,1.95,-27.16,-27.16,86.66,258085539,35920000,9553977,10846040,12515335,1.905,1.345,3.94,1.635,2.815,0.3058,3.94,-1962.1,27.01,50.66,41.64,7.54,1.95,0,0,0,0,0,0,0,0,0,0,-20.91,4.0,1.0,1.0,1.0,-13.59,1.0,1.0,08:45,14:59,290,60.72,92.44,100.0,30.33,11.94,SUSPICIOUS,3.8,2.01,10:14,3.14,100.0,86.27,2.995,2767934.0,4.36,1,1,286,2.48,4.88,2.48,3.4,1.905,3.94,1.635,-23.98,395.48,1.0,12705662.0,12.71,Healthcare,Diagnostics & Research,Micro,1650.0,v2,4.31,4.38,3.27,3.3,3.02,3.02,2.51,2.54,2.33,3.74,2.27,3.35,3.92,4.86,3.33,3.57
HYLN,2026-05-15,67.47,4.61,24.96,94.54,29.86,92.31,4.51,8.06,-4.05,7.84,-3.05,-3.05,69.07,9732679,822310000,1207622,123170625,178327240,3.55,3.7,4.755,3.46,4.275,0.2874,4.755,94.54,8.06,29.86,-4.05,4.51,7.84,0,0,0,0,0,0,0,0,0,0,-17.03,2.0,1.0,1.0,0.0,-1.63,1.0,1.0,09:50,14:59,244,48.92,67.47,67.85,41.48,8.48,CLEAN,4.75,4.09,14:53,4.64,67.85,12.03,4.675,488291.0,1.41,1,0,7,4.54,4.82,4.07,4.2,3.55,4.755,3.46,-1.68,94.29,2.0,123174191.0,123.17,Consumer Cyclical,Auto Parts,Small,2324.0,v2,4.04,4.21,3.83,4.08,4.09,4.28,3.85,4.07,4.18,4.37,4.16,4.18,4.29,6.24,4.29,5.96
PIII,2026-05-15,100.0,12.81,217.74,-748.04,145.64,93.74,9.92,100.0,30.87,19.55,-10.17,-10.17,42.39,61361859,92690000,89838,1406662,3318290,5.215,3.985,14.26,5.075,10.715,0.9262,14.26,-748.04,100.0,145.64,30.87,9.92,19.55,0,0,0,0,0,0,0,0,0,0,-39.97,1.0,1.0,1.0,1.0,-31.26,1.0,1.0,08:45,14:59,298,26.19,100.0,100.0,26.19,13.6,SUSPICIOUS,14.17,5.11,09:57,9.49,100.0,176.76,11.29,629089.0,-11.87,1,1,303,8.8,9.12,7.69,9.12,5.215,14.26,5.075,-20.83,226.42,1.0,1420208.0,1.42,Healthcare,Medical Care Facilities,Mid+,1864.0,v2,10.07,12.86,9.36,10.43,11.21,11.51,9.99,9.99,10.06,14.59,9.85,13.9,13.98,14.03,13.08,13.1
QUCY,2026-05-15,83.58,3.61,20.33,-526.05,45.56,93.41,5.27,5.67,-17.2,-1.28,-26.02,-26.02,86.66,78369295,45190000,13822887,10846040,12515335,2.48,2.995,4.88,2.48,3.6567,0.4554,4.88,-526.05,5.67,45.56,-17.2,5.27,-1.28,0,0,0,0,0,0,0,0,0,0,-37.12,3.0,1.0,1.0,1.0,19.39,1.0,1.0,09:36,14:59,256,70.38,83.58,95.01,50.05,12.26,CLEAN,4.88,3.07,13:12,4.23,95.01,21.09,3.405,1144157.0,-5.68,1,1,108,4.31,4.38,3.27,3.3,2.48,4.88,2.48,-30.23,353.27,2.0,12705662.0,12.71,Healthcare,Diagnostics & Research,Micro,1651.0,v2,3.02,3.02,2.51,2.54,2.33,3.74,2.27,3.35,3.92,4.86,3.33,3.57,3.67,3.7,3.33,3.34
SKK,2026-05-15,66.93,4.76,40.41,-194.18,31.13,55.14,1.27,10.89,6.92,4.46,-9.85,-70.27,55.48,7169161,11600000,658177,1352229,2437500,3.63,3.395,5.28,3.63,4.5567,1.2991,16.01,-194.18,10.89,31.13,6.92,1.27,4.46,0,0,0,0,0,0,0,0,0,0,-19.33,4.0,1.0,1.0,0.0,1.68,0.0,0.0,09:34,14:59,258,15.24,66.93,70.7,13.66,18.49,CLEAN,5.47,3.92,14:37,4.97,70.7,39.54,4.77,17931.0,0.21,1,1,23,4.84,4.84,4.3,4.5,3.63,5.28,3.63,-9.66,27.35,0.0,1352229.0,1.35,Industrials,Engineering & Construction,Micro,583.0,v2,4.27,4.6,4.27,4.49,4.3,4.48,4.28,4.28,3.88,3.88,3.84,3.84,3.84,3.84,3.84,3.84
SLE,2026-05-15,61.01,6.03,48.16,-2963.87,-13.8,85.26,5.64,100.0,75.75,-2.19,-14.1,-46.35,81.63,44713148,8800000,18967,1220118,1494616,6.995,3.98,7.02,5.445,6.165,0.2794,11.24,-2963.87,100.0,-13.8,75.75,5.64,-2.19,0,0,0,0,0,0,0,0,0,0,-29.6,1.0,1.0,1.0,1.0,-21.64,0.0,0.0,08:45,14:59,298,61.31,61.01,69.62,56.97,1.81,CLEAN,6.82,5.52,10:08,6.82,69.62,4.12,5.96,154231.0,-1.16,0,1,292,4.72,4.84,4.25,4.84,6.995,7.02,5.445,-15.1,44.38,0.0,1255426.0,1.26,Communication Services,Internet Content & Information,Micro,2634.0,v2,4.78,5.75,4.66,5.53,4.95,5.56,4.95,5.47,5.12,5.25,5.03,5.03,4.93,4.93,4.5,4.5
ASBP,2026-05-18,67.49,6.79,21.03,-324.83,17.68,89.63,3.04,0.38,-1.87,5.38,-3.55,-3.55,99.17,5143035,8220000,13414078,1200954,1210983,5.77,5.88,7.04,5.5,6.4433,0.5069,7.04,-324.83,0.38,17.68,-1.87,3.04,5.38,1,0,0,0,0,0,0,1,1,0,-20.03,4,1,1,1,-8.39,0,0,13:27,14:59,56,64.46,68.06,74.85,61.47,2.75,CLEAN,7.05,6.58,13:53,7.05,74.85,5.54,6.71,11664.0,-1.18,0,0,67,6.22,6.22,5.82,5.83,5.77,7.04,5.5,-4.69,264.94,2.0,1200954.0,1.2,Healthcare,Biotechnology,Micro,1497.0,v2,5.83,5.95,5.83,5.95,5.9,5.9,5.71,5.71,5.47,5.49,5.43,5.49,5.49,5.49,5.49,5.49
WNW,2026-05-19,66.32,4.93,104.51,-3685.99,20.54,61.13,3.55,67.48,74.04,-1.92,-22.24,-63.32,9.14,50377455,6560000,746587,121591,1330471,4.09,2.35,6.34,3.81,5.0267,0.7125,13.44,-3685.99,67.48,20.54,74.04,3.55,-1.92,0,0,0,0,0,0,0,0,0,0,-23.73,1,1,1,1,6.29,1,1,08:45,14:59,264,43.16,66.32,84.2,43.16,9.06,CLEAN,6.24,3.95,11:21,5.93,84.2,57.97,4.76,190701.0,-3.45,1,1,219,5.24,6.49,3.76,3.85,4.09,6.34,3.81,-24.92,28.67,0.0,155631.0,0.16,Consumer Cyclical,Internet Retail,Micro,1980.0,v2,4.37,4.37,4.12,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27
HCWB,2026-05-20,82.72,2.28,115.07,-2684.11,117.14,84.77,8.18,11.15,1.45,-6.43,-42.71,-75.19,91.36,187561249,15360000,16823280,6152075,6734104,1.05,1.035,3.98,1.05,2.4367,0.358,9.19,-2684.11,11.15,117.14,1.45,8.18,-6.43,0,0,0,0,0,0,0,0,0,0,-27.63,1,1,1,1,-2.19,1,1,09:27,14:59,283,89.48,82.72,95.52,30.33,7.25,SUSPICIOUS,3.84,2.0,14:15,2.84,95.52,73.76,2.42,917965.0,6.14,1,1,45,2.23,2.91,1.65,2.59,1.05,3.98,1.05,-39.2,304.72,0.0,6152075.0,6.15,Healthcare,Biotechnology,Micro,1764.0,v2,3.23,3.41,2.72,2.89,2.72,2.945,2.49,2.635,2.72,2.94,2.49,2.63,2.48,2.53,1.9,1.95
MTVA,2026-05-20,93.48,2.94,56.38,-1062.25,48.48,80.73,5.79,39.35,5.88,7.82,-10.91,-76.8,65.58,60010217,15180000,1525103,3386639,5164370,1.98,1.87,3.3,1.94,2.7267,0.235,12.675,-1062.25,39.35,48.48,5.88,5.79,7.82,0,0,0,0,0,0,0,0,0,0,-18.03,1,1,1,0,-11.22,1,1,09:19,14:59,289,33.0,93.48,94.0,28.87,17.17,CLEAN,3.3,2.17,14:43,3.04,94.0,45.37,2.895,399679.0,-1.53,1,1,17,2.61,3.01,2.41,2.89,1.98,3.3,1.94,-12.27,99.86,1.0,3386639.0,3.39,Healthcare,Biotechnology,Micro,3574.0,v2,3.56,4.29,3.38,3.85,3.36,3.5,2.84,3.035,3.36,3.5,2.84,3.04,3.05,3.77,3.05,3.33
CODX,2026-05-21,63.38,3.77,57.74,-2393.86,17.81,74.59,3.25,25.05,35.02,0.58,-16.04,-38.15,97.13,89831842,13580000,3585980,3499254,3602465,3.2,2.37,4.49,2.985,3.7483,0.4631,6.095,-2393.86,25.05,17.81,35.02,3.25,0.58,0,0,0,0,0,0,0,0,0,0,-15.38,1,1,1,0,-11.14,1,1,08:45,14:59,336,36.42,63.38,83.0,32.69,12.38,CLEAN,4.47,2.99,10:20,4.32,83.0,36.7,3.7,397006.0,-1.86,1,1,280,3.35,5.35,3.19,5.07,3.2,4.49,2.985,-17.59,102.32,3.0,3499254.0,3.5,Healthcare,Medical Devices,Micro,3234.0,v2,6.96,10.8,6.36,9.355,6.96,10.8,6.36,9.36,8.04,11.47,6.77,7.64,8.78,13.51,8.78,11.1
EDHL,2026-05-21,89.47,3.35,53.67,-304.72,37.01,62.9,5.35,46.23,9.4,8.83,-2.62,-51.02,32.48,6341181,5248766,137179,541256,1666275,2.445,2.235,3.44,2.445,3.0783,0.1859,6.84,-304.72,46.23,37.01,9.4,5.35,8.83,0,0,0,0,0,0,0,0,0,0,-20.3,2,1,1,1,-8.06,0,0,08:50,14:59,329,35.69,89.47,89.47,5.77,13.87,CLEAN,3.35,2.49,14:57,3.35,89.47,31.37,3.16,28440.0,-5.67,1,0,3,3.08,3.26,3.06,3.17,2.445,3.44,2.445,-8.14,18.5,0.0,541273.0,0.54,Communication Services,Advertising Agencies,Micro,398.0,v2,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.9,3.23,2.85,3.23
PCLA,2026-05-21,65.0,2.47,76.42,35.16,43.6,77.7,12.08,100.0,-15.69,12.61,-5.73,-63.46,11.24,22447905,85510000,8316,1080482,9613805,1.72,2.04,2.62,1.49,2.1933,0.0935,6.76,35.16,100.0,43.6,-15.69,12.09,12.62,0,0,0,0,0,0,0,0,0,0,85.83,1,0,0,0,150.2,1,1,09:56,14:59,260,51.09,65.0,70.68,42.31,6.86,CLEAN,2.55,2.0,14:42,2.26,70.68,26.87,2.37,48344.0,-4.05,1,0,18,6.18,7.36,4.59,6.62,1.72,2.62,1.49,-9.54,16.03,0.0,1080482.0,1.08,Communication Services,Telecom Services,Micro,489.0,v2,6.44,13.8,6.03,11.69,6.44,13.8,6.03,11.69,9.82,12.8,9.56,12.21,10.34,10.77,9.49,10.05
AKTX,2026-05-22,72.0,16.53,221.62,33.69,66.8,88.58,7.12,100.0,108.19,13.01,-11.41,-11.41,3560800.0,30021887,748360000,68240,40756489504,1144588,9.91,4.76,18.66,8.69,14.6267,1.4,18.66,33.69,100.0,66.8,108.19,7.12,13.01,0,0,0,0,0,0,0,0,0,0,-16.82,1,1,1,0,-16.82,1,1,08:45,14:59,111,20.98,72.0,72.0,19.1,22.12,CLEAN,16.93,8.61,12:48,13.95,72.0,64.37,17.95,178149.0,8.59,1,0,132,13.75,19.99,13.75,18,9.91,18.66,8.69,-3.8,226.05,4.0,41328783504.0,41328.78,Healthcare,Biotechnology,Micro,4518.0,v2,13.75,19.99,13.75,18.0,17.49,17.89,14.91,16.22,16.76,24.81,16.68,22.56,24.96,24.99,16.2,16.2
CODX,2026-05-22,76.53,5.17,39.33,-150.99,54.1,81.76,3.69,1.82,-9.32,13.13,-3.36,-15.18,97.13,9044300,18630000,4980249,3499254,3602465,3.355,3.7,5.35,3.19,4.57,0.5848,6.095,-150.99,1.82,54.1,-9.32,3.69,13.13,0,0,0,0,0,0,0,0,0,0,23.02,1,0,0,0,34.62,1,1,13:49,14:59,32,48.55,76.53,76.53,48.55,8.41,CLEAN,5.23,4.28,14:59,5.17,76.53,22.2,5.065,81748.0,-2.03,1,0,1,6.96,10.8,6.36,9.355,3.355,5.35,3.19,-5.33,153.5,4.0,3499254.0,3.5,Healthcare,Medical Devices,Micro,3235.0,v2,6.96,10.8,6.36,9.355,8.045,11.47,6.77,7.64,8.78,13.51,8.78,11.095,11.79,13.17,8.2,8.21
HYLN,2026-05-22,63.58,5.76,37.02,90.21,34.27,85.88,4.3,11.13,2.63,6.08,-7.69,-7.69,69.07,17509877,1030000000,1573515,123174191,178327240,4.29,4.18,6.24,4.29,5.43,0.4538,6.24,90.21,11.13,34.27,2.63,4.3,6.08,0,0,0,0,0,0,0,0,0,0,3.3,1,0,0,0,7.29,1,1,09:46,14:59,87,28.37,63.58,66.25,28.37,10.26,CLEAN,6.23,4.86,13:43,6.23,66.25,28.19,5.965,913209.0,3.56,1,0,77,6.18,7.22,5.95,6.61,4.29,6.24,4.29,-4.41,95.48,1.0,123200940.0,123.2,Consumer Cyclical,Auto Parts,Small,2331.0,v2,6.18,7.22,5.95,6.61,6.69,7.31,6.275,6.92,6.84,7.39,6.62,7.155,7.155,7.265,6.545,6.99
MTVA,2026-05-22,64.4,3.99,39.02,-664.05,12.24,86.5,2.66,15.43,23.01,2.66,-6.99,-68.52,65.58,39447345,20600000,2555884,3386639,5164370,3.555,2.89,4.29,3.38,3.8867,0.3425,12.675,-664.05,15.43,12.24,23.01,2.66,2.66,0,0,0,0,0,0,0,0,0,0,-30.2,5,1,1,1,-15.79,0,0,08:45,14:59,111,43.64,64.4,76.24,40.03,7.95,CLEAN,4.26,3.4,10:21,4.26,76.24,15.76,3.855,225439.0,-3.38,1,0,279,3.36,3.5,2.84,3.035,3.555,4.29,3.38,-10.14,137.01,0.0,3386639.0,3.39,Healthcare,Biotechnology,Micro,3576.0,v2,3.36,3.5,2.84,3.035,3.05,3.775,3.05,3.325,2.93,3.23,2.93,3.115,3.02,3.09,2.785,2.815
